name,place,price
成都颐和家园,建和路6号 ,18310
成都香楠湖,国际新城涧槽中街333号 ,11727
成都金楠国际,太平园东五街31号 ,0
成都东城攻略,东四横街8号 ,0
成都兴元丽园,顺和街2号（武侯立交内侧） ,6964
成都叠翠峰,广和二街88号 ,18028
成都天府长城嘉南地,天久南巷169号 ,0
成都芙蓉城,金牛育德路88号 ,0
成都双玺,青羊贝森路216号 ,19308
成都时代尊城,东坡路399号 ,11984
成都东林城市花园,荆竹东路268号 ,0
成都成达佳园,世纪城路920号（新会展中心旁） ,6940
成都首创爱这城,二环路东二段500号 ,0
成都万达锦华城,二环东五段29号 ,0
成都蓝光凯丽美域,金祥路55号 ,9421
成都驿鑫乡卿城,武科东二路2号 ,6665
成都森宇音乐花园,温泉大道一段558号 ,4602
成都超洋花园,超洋路１号(西南民族大学对面) ,0
成都智慧康城,星河路89号 ,8300
成都金沙愉景,青羊清波路385号（三环路西四段） ,16219
成都碧华邻,东坡北三路99号 ,9671
成都盛南领地,天华路77号 ,7119
成都阳光华苑,华府大道一段1175号 ,0
成都交大绿岭,观音桥街22号 ,17735
成都中海国际林汀别墅,高新西区羊犀线蜀西路 ,28801
成都西线阳光,黄金路9号 ,0
成都麓山国际香溪堤,麓山大道二段6号 ,0
成都华都美林湾,锦江区白桦林路29号 ,7284
成都蓝光富丽碧蔓汀,解放路一段75号 ,11331
成都锦江城市花园二期,海棠路608号 ,8009
成都蓝光富丽东方,和美东路8号 ,7786
成都神仙树大院四期,紫荆西路6号 ,12889
成都橙花风景,东坡北二路670号 ,19904
成都首座,人民南路四段48号 ,0
成都蓝光公馆1881,神仙树盛和三街宜家附近（欧尚超市西行200米） ,23846
成都上锦颐园,尚锦路166号 ,10108
成都中海名城,神仙树南路8号 ,13988
成都时代豪庭,芷泉街段188号（兰桂坊旁） ,15823
成都中大君悦金沙花园,清江西路（西单商场旁） ,0
成都翰林上岛,临港路三段8号（紧邻西南民族大学新校区） ,0
成都汇融名城,二环路北四段9号 ,0
成都金强大学城,南熏大道三段855号 ,5185
成都华西花园,二仙桥东路188号 ,12435
成都翡翠海湾,蜀跃东路138号 ,0
成都光华美邻,瑞星路89号 ,8845
成都现代城,金牛金沙路169号 ,16958
成都彩叠园,光华大道三段鹏程路1088号 ,13314
成都武侯国际花园,武侯大道双楠段58号 ,0
成都晶蓝半岛二期,宏济新路488号 ,13005
成都麓山国际麓镇帕萨迪纳,人民南路南延线麓山大道二段6号 ,0
