经纬度
"104.035424,30.659366"
"104.099836,30.666422"
"104.065380,30.671782"
"104.025788,30.683708"
"103.994682,30.660187"
"104.042024,30.615930"
"103.959438,30.759422"
"104.173804,30.769527"
"103.981453,30.662457"
"104.076956,30.648691"
"103.453986,30.411881"
"103.826939,30.722460"
"104.145876,30.663269"
"104.072288,30.643421"
"104.174263,30.619877"
"104.030771,30.670870"
"103.907944,30.558115"
"104.047686,30.655047"
"104.008233,30.642947"
"104.074449,30.552489"
"104.062079,30.517896"
"104.008411,30.680345"
"103.990337,30.571073"
"104.111860,30.671754"
"104.100569,30.714659"
"104.082507,30.648672"
"104.148310,30.743441"
"104.026066,30.683257"
"104.043546,30.709380"
"104.102583,30.635137"
"104.088670,30.687685"
"104.052917,30.677867"
"104.011714,30.655637"
"104.118746,30.645956"
"103.980737,30.668740"
"104.079404,30.643200"
"103.977120,30.651697"
"104.044630,30.689041"
"104.260333,30.544061"
"103.983974,30.756504"
"104.273271,30.559610"
"103.854443,30.686354"
"104.062383,30.659373"
"104.108922,30.676384"
"104.040961,30.603511"
"104.068598,30.672455"
"103.911554,30.522931"
"104.067022,30.654613"
"104.039673,30.657750"
"104.066541,30.572269"
"104.059383,30.522832"
"104.094542,30.644539"
"104.070572,30.614289"
"104.094494,30.553660"
"104.090232,30.658092"
"104.147144,30.616917"
"104.087433,30.685399"
"104.051438,30.632735"
"104.006540,30.667282"
"104.022856,30.674817"
"104.037119,30.628002"
"104.046493,30.650763"
"104.112654,30.713918"
"104.036119,30.662993"
"103.874971,30.821733"
"104.072534,30.644556"
"104.000842,30.655377"
"104.066541,30.572269"
"104.041401,30.613749"
"103.888635,30.491351"
"104.041584,30.653032"
"104.091517,30.711264"
"103.920934,30.535718"
"104.068367,30.654360"
"103.626190,30.989961"
"104.070981,30.644506"
"104.076981,30.686796"
"104.004394,30.662222"
"104.052817,30.653923"
"104.100739,30.641015"
"104.073997,30.647768"
"104.070320,30.658810"
"104.079804,30.660857"
"103.985545,30.670385"
"104.033775,30.666443"
"104.086030,30.638190"
"103.981850,30.679420"
"103.905190,30.524119"
"104.035766,30.657342"
"104.082781,30.651394"
"104.117628,30.651914"
"104.009479,30.665035"
"104.107180,30.668540"
"103.924699,30.571735"
"104.089806,30.644365"
"104.064240,30.508490"
"104.111574,30.629608"
"104.081157,30.483429"
"104.019589,30.646148"
"104.057508,30.640671"
"104.093842,30.554858"
"104.060006,30.653710"
"104.074317,30.647932"
"104.081470,30.672192"
"104.083306,30.657370"
"104.093795,30.685543"
"104.032305,30.637952"
"104.059261,30.662198"
"104.059399,30.624215"
"104.073750,30.633457"
"104.085280,30.665940"
"104.085826,30.640197"
"104.001948,30.666586"
"103.929591,30.777395"
"104.033426,30.669316"
"104.073660,30.643150"
"104.066541,30.572269"
"104.074241,30.593837"
"103.988184,30.575537"
"104.059049,30.662288"
"104.071618,30.622043"
"104.028820,30.666000"
"104.043580,30.512119"
"104.066541,30.572269"
"104.032272,30.671053"
"104.400115,30.864736"
"103.966240,30.760812"
"103.683933,30.581821"
"104.029778,30.636801"
"103.989552,30.657366"
"104.029127,30.684726"
"104.047199,30.652933"
"104.082457,30.649484"
"103.944412,30.982028"
"104.091239,30.644711"
"104.140800,30.639358"
"103.819673,30.422747"
"104.032777,30.665891"
"104.066541,30.572269"
"104.066541,30.572269"
"104.073473,30.647193"
"104.101734,30.629048"
"103.989566,30.567641"
"103.862318,30.693974"
"104.116992,30.662609"
"103.994626,30.662373"
"104.052020,30.640869"
"104.038110,30.652960"
"104.055540,30.632970"
"104.068664,30.621055"
"103.920703,30.560315"
"104.062590,30.671858"
"104.034417,30.650057"
"103.989265,30.663439"
"104.056160,30.643440"
"104.067178,30.666721"
"104.105323,30.638615"
"104.075109,30.668496"
"104.085231,30.633881"
"104.045408,30.637378"
"104.050100,30.686780"
"104.094587,30.644528"
"104.039258,30.655786"
"103.810680,30.408654"
"104.052200,30.687000"
"104.085067,30.638146"
"103.856050,30.677718"
"103.999948,30.683256"
"104.072590,30.662006"
"104.055768,30.673916"
"104.067844,30.668643"
"104.096833,30.712949"
"104.051700,30.661889"
"104.053397,30.610321"
"103.731653,31.016994"
"104.106125,30.686346"
"104.054505,30.616612"
"104.033200,30.642491"
"104.261525,30.566035"
"104.044957,30.679659"
"104.066541,30.572269"
"104.061790,30.633124"
"104.058844,30.676075"
"104.077188,30.670593"
"104.042269,30.672715"
"104.055600,30.616010"
"104.015689,30.651247"
"104.022515,30.632546"
"104.082799,30.669137"
"103.995804,30.675536"
"104.052558,30.670102"
"104.039184,30.669864"
"103.971285,30.749409"
"104.050129,30.660011"
"103.588690,30.868594"
"104.058873,30.627221"
"104.059967,30.674778"
"104.080362,30.660982"
"104.066541,30.572269"
"104.008686,30.705733"
"104.069304,30.661926"
"104.059617,30.668928"
"103.999633,30.664409"
"104.086846,30.661444"
"104.042496,30.696235"
"104.058434,30.695372"
"104.059872,30.635057"
"104.086714,30.657590"
"104.039251,30.670464"
"104.023603,30.678716"
"104.047640,30.551777"
"104.086380,30.684210"
"104.079098,30.615058"
"103.990645,30.664197"
"104.113076,30.655164"
"104.053278,30.668005"
"104.100857,30.667233"
"104.034692,30.672022"
"104.100594,30.630705"
"104.043034,30.696531"
"104.081810,30.645401"
"104.069983,30.679887"
"104.042225,30.675241"
"104.536277,30.401823"
"104.125490,30.644655"
"104.037305,30.641927"
"104.124764,30.653906"
"104.039909,30.613266"
"104.096933,30.675722"
"104.043048,30.696241"
"103.991153,30.666156"
"104.055129,30.669400"
"104.090070,30.645160"
"104.086775,30.655960"
"103.998691,30.662330"
"104.106244,30.620573"
"104.078700,30.666959"
"104.061609,30.674891"
"104.132303,30.609297"
"104.064036,30.621975"
"104.035059,30.677062"
"104.059301,30.634447"
"104.002263,30.633941"
"104.289022,30.554877"
"104.042826,30.628225"
"104.062060,30.622728"
"104.053538,30.670804"
"104.058825,30.625559"
"104.066541,30.572269"
"104.096060,30.669536"
"104.038643,30.672735"
"104.080130,30.691864"
"103.739197,30.359272"
"104.032026,30.625499"
"104.060006,30.661829"
"104.083965,30.673902"
"103.514718,30.189776"
"104.031912,30.664669"
"104.026346,30.673596"
"104.305529,30.587452"
"104.121628,30.649480"
"103.904948,30.795037"
"104.108197,30.665161"
"104.069035,30.627056"
"104.277963,30.574982"
"104.050580,30.659648"
"104.064070,30.635754"
"104.061052,30.675426"
"104.106593,30.629192"
"104.079757,30.616060"
"104.260920,30.564483"
"104.095196,30.646098"
"104.059065,30.675952"
"104.061551,30.622105"
"104.057015,30.626160"
